company_id,ticker,sector,driver_family,feature,horizon_label,predictor_available_date,outcome_available_date,current,lag_delta,cycle_position_score,gap,wrong_sector_gap,random_driver_gap,delta
001,HD,25,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.020,0.004,0.55,0.060,-0.015,0.011,0.034
002,LOW,25,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.018,0.003,0.52,0.052,-0.012,-0.006,0.030
003,ROST,25,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.030,0.005,0.58,0.070,-0.018,0.003,0.044
004,TJX,25,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.026,0.004,0.57,0.064,-0.020,-0.010,0.039
005,PG,30,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.010,0.001,0.45,0.010,0.055,0.016,0.013
006,CL,30,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.012,0.001,0.46,0.012,0.058,-0.003,0.015
007,MSFT,45,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.042,0.007,0.62,0.080,0.020,0.005,0.058
008,AAPL,45,growth,revenue_growth,1Y,2015-03-31,2016-03-31,0.035,0.006,0.60,0.075,0.018,-0.008,0.051
001,HD,25,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.024,0.003,0.53,0.055,-0.010,-0.011,0.035
002,LOW,25,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.021,0.002,0.51,0.050,-0.012,0.002,0.031
003,ROST,25,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.033,0.005,0.59,0.073,-0.016,0.006,0.047
004,TJX,25,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.028,0.004,0.56,0.066,-0.019,-0.005,0.041
005,PG,30,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.011,0.001,0.44,0.008,0.050,0.010,0.012
006,CL,30,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.013,0.001,0.47,0.014,0.052,-0.004,0.016
007,MSFT,45,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.045,0.008,0.64,0.084,0.025,0.007,0.063
008,AAPL,45,growth,revenue_growth,1Y,2017-03-31,2018-03-31,0.037,0.006,0.61,0.078,0.022,-0.009,0.054
001,HD,25,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.022,0.002,0.50,0.050,-0.018,0.004,0.031
002,LOW,25,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.019,0.002,0.49,0.045,-0.014,-0.007,0.027
003,ROST,25,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.031,0.004,0.57,0.068,-0.020,0.006,0.042
004,TJX,25,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.027,0.004,0.55,0.061,-0.021,-0.002,0.038
005,PG,30,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.012,0.001,0.45,0.011,0.045,0.014,0.014
006,CL,30,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.014,0.001,0.46,0.015,0.047,-0.006,0.017
007,MSFT,45,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.046,0.007,0.63,0.082,0.018,0.009,0.060
008,AAPL,45,growth,revenue_growth,1Y,2019-03-31,2020-03-31,0.036,0.005,0.60,0.074,0.016,-0.012,0.050
001,HD,25,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.145,0.002,0.54,0.050,-0.010,0.004,0.019
002,LOW,25,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.132,0.001,0.51,0.044,-0.012,-0.003,0.016
003,ROST,25,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.170,0.003,0.58,0.060,-0.015,0.002,0.026
004,TJX,25,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.162,0.002,0.57,0.057,-0.018,-0.006,0.023
