model_name,evaluation_count,mean_mae,mean_mae_improvement_vs_fundamentals,mean_directional_hit_rate,mean_rank_ic
gap_lambda_1.00,2,0.0006995053763754207,0.3140886190573475,1.0,0.9996322176773396
gap_lambda_0.80,2,0.0007290024804851604,0.29256590244433384,1.0,0.9996322176773396
gap_lambda_0.65,2,0.0007838744236869561,0.25646159419332326,1.0,0.9996322176773396
gap_lambda_0.50,2,0.000857507754611897,0.20869412984590308,1.0,0.9996322176773396
gap_lambda_0.35,2,0.0009425947438025017,0.1536532180213182,1.0,0.9996322176773396
gap_lambda_0.20,2,0.0010289805237721514,0.09782062638682443,1.0,0.9996322176773396
gap_lambda_0.10,2,0.001086571043751918,0.060598898630495224,0.9375,0.9996322176773396
fundamentals,2,0.0011600473841080487,0.0,0.9375,0.9996322176773396
gap_lambda_0.00,2,0.0011600473841080487,0.0,0.9375,0.9996322176773396
momentum_only,2,0.0038891366572464587,-3.18446942360388,1.0,0.9475108512966937
current_level_only,2,0.0042190287472745865,-4.356589683227155,1.0,0.7005414993140289
peer_median,2,0.011125,-9.660364407367968,1.0,-0.06784066926615713
