model_name,evaluation_count,mean_mae_improvement,pass_rate
wrong_sector_gap_lambda_0.80,2,0.31173461718780976,1.0
wrong_sector_gap_lambda_1.00,2,0.3072375632072644,0.5
random_driver_gap_lambda_1.00,2,0.27919800599475036,1.0
wrong_sector_gap_lambda_0.65,2,0.26614063474349803,1.0
random_driver_gap_lambda_0.80,2,0.2557206330370976,1.0
random_driver_gap_lambda_0.65,2,0.22403751547793466,1.0
wrong_sector_gap_lambda_0.50,2,0.21839375088224328,1.0
random_driver_gap_lambda_0.50,2,0.17850226322743523,1.0
wrong_sector_gap_lambda_0.35,2,0.16835011674056943,1.0
random_driver_gap_lambda_0.35,2,0.1329670109769353,1.0
wrong_sector_gap_lambda_0.20,2,0.10621885422639687,1.0
random_driver_gap_lambda_0.20,2,0.08743175872643572,1.0
wrong_sector_gap_lambda_0.10,2,0.06479801255028095,1.0
random_driver_gap_lambda_0.10,2,0.05609607132486438,1.0
wrong_sector_gap_lambda_0.00,2,0.0,1.0
random_driver_gap_lambda_0.00,2,0.0,1.0
shuffled_gap_lambda_0.00,2,0.0,1.0
shuffled_gap_lambda_0.10,2,-0.004793771726915863,0.5
shuffled_gap_lambda_0.20,2,-0.009587543453831615,0.5
shuffled_gap_lambda_0.35,2,-0.024844999495480802,0.0
shuffled_gap_lambda_0.50,2,-0.04106771673879328,0.0
shuffled_gap_lambda_0.65,2,-0.05729043398210587,0.0
shuffled_gap_lambda_0.80,2,-0.07351315122541846,0.0
shuffled_gap_lambda_1.00,2,-0.0951434408831685,0.0
