company_id,company_name,equity_ticker,cds_ticker,redcode,shortname,match_type
0001487712,AIR LEASE CORPORATION,AL,AIRLEA,009A3Z,AIR LEASE CORP,exact_name_norm
0001018963,ATI Inc.,ATI,ATIINC,0A2383,ATI INC,exact_name_norm
0000023217,"Conagra Brands, Inc.",CAG,CONABRA,225DHN,CONAGRA BRANDS INC,exact_name_norm
0000723612,"Avis Budget Group, Inc.",CAR,AVBDGT,058AEB,AVIS BUDGET GROUP INC,exact_name_norm
0000026172,CUMMINS INC.,CMI,CUM,2F4123,CUMMINS INC,exact_name_norm
0000026780,Dana Incorporated,DAN,DANAINC,258DAH,DANA INC,exact_name_norm
0001324424,"EXPEDIA GROUP, INC.",EXPE,EXPEGRO,3D233N,EXPEDIA GROUP INC,exact_name_norm
0000887936,"FTI Consulting, Inc.",FCN,FTICO,332BD5,FTI CONSULTING INC,exact_name_norm
0001468174,HYATT HOTELS CORPORATION,H,HYAHO,48CDCG,HYATT HOTELS CORP,exact_name_norm
0000047111,THE HERSHEY COMPANY,HSY,THCC,469FCJ,HERSHEY CO,exact_name_norm
0000004281,HOWMET AEROSPACE INC.,HWM,HOWMAER,4I7521,HOWMET AEROSPACE INC,exact_name_norm
0000216228,ITT INC.,ITT,ITTC,4ABCBK,ITT CORP,exact_name_norm
0000871763,MANPOWERGROUP INC.,MAN,MANPINC,5BA59N,MANPOWERGROUP INC,exact_name_norm
0000063754,McCormick & Co Inc.,MKC,MCCRK,5CGGF8,MCCORMICK & CO INC,exact_name_norm
0000833079,MERITAGE HOMES CORPORATION,MTH,MRHMC,5E901B,MERITAGE HOMES CORP,exact_name_norm
0001133421,NORTHROP GRUMMAN CORP /DE/,NOC,NORGRM,6CCE9H,NORTHROP GRUMMAN CORP,exact_name_norm
0000814453,NEWELL BRANDS INC.,NWL,NEWEBRA,6B632H,NEWELL BRANDS INC,exact_name_norm
0000822416,"PULTEGROUP, INC.",PHM,PHMG,7B9DFM,PULTEGROUP INC,exact_name_norm
0000101829,RTX CORPORATION,RTX,RTXCOR,7BDHBK,RTX CORP,exact_name_norm
0000093556,"STANLEY BLACK & DECKER, INC.",SWK,STNBDK,8D9952,STANLEY BLACK & DECKER INC,exact_name_norm
0000098362,TIMKEN CO,TKR,MPBCO,8GFABH,TIMKEN CO,exact_name_norm
