company_id,company_name,equity_ticker
0000824142,"AAON, INC.",AAON
0001158449,"Advance Auto Parts, Inc.",AAP
0001144980,"ASBURY AUTOMOTIVE GROUP, INC",ABG
0000771497,ABM INDUSTRIES INCORPORATED,ABM
0001559720,"Airbnb, Inc.",ABNB
0000712034,ACCO Brands Corporation,ACCO
0000868857,AECOM,ACM
0001637873,ACV Auctions Inc.,ACVA
0000919012,AMERICAN EAGLE OUTFITTERS INC,AEO
0000880266,AGCO CORP /DE,AGCO
0000100591,ARGAN INC,AGX
0000819793,ALBANY INTERNATIONAL CORP.,AIN
0000001750,AAR CORP.,AIR
0000109563,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",AIT
0000003545,"ALICO, INC.",ALCO
0000897077,ALAMO GROUP INC.,ALG
0001362468,Allegiant Travel Company,ALGT
0000766421,"ALASKA AIR GROUP, INC.",ALK
0000046129,ALLIENT INC,ALNT
0001411207,Allison Transmission Holdings Inc,ALSN
0001034670,"Autoliv, Inc.",ALV
0001037868,"AMETEK, Inc.",AME
0001488139,"Ameresco, Inc.",AMRC
0000880807,American Superconductor Corporation,AMSC
0000794619,American Woodmark Corp,AMWD
0000821026,"THE ANDERSONS, INC.",ANDE
0001018840,Abercrombie & Fitch Co.,ANF
0000091142,A. O. Smith Corporation,AOS
0001201792,"American Public Education, Inc.",APEI
0000006845,"APOGEE ENTERPRISES, INC.",APOG
0000894405,ARCBEST CORPORATION,ARCB
0001584509,Aramark,ARMK
0000792987,"Astec Industries, Inc.",ASTE
0000884144,"ASURE SOFTWARE, INC.",ASUR
0000730464,Covista Inc.,ATGE
0000008063,Astronics Corporation,ATRO
0001368622,"AEROVIRONMENT, INC.",AVAV
0000007431,"ARMSTRONG WORLD INDUSTRIES, INC.",AWI
0001069183,"Axon Enterprise, Inc.",AXON
0000008947,AZZ Inc.,AZZ
0001443646,Booz Allen Hamilton Holding Corporation,BAH
0000902791,"BARRETT BUSINESS SERVICES, INC.",BBSI
0001113809,"Build-A-Bear Workshop, Inc.",BBW
0000701985,"BATH & BODY WORKS, INC.",BBWI
0001328581,Boise Cascade Company,BCC
0000078890,THE BRINK’S COMPANY,BCO
0001437578,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM
0001278027,"B&G Foods, Inc.",BGS
0001531152,"BJ’S WHOLESALE CLUB HOLDINGS, INC.",BJ
0001013488,"BJ’S RESTAURANTS, INC.",BJRI
0000885245,"BUCKLE, INC",BKE
0001075531,Booking Holdings Inc.,BKNG
0001589526,BLUE BIRD CORPORATION,BLBD
0001633931,TopBuild Corp,BLD
0001316835,"BUILDERS FIRSTSOURCE, INC.",BLDR
0001546417,"BLOOMIN’ BRANDS, INC.",BLMN
0001634117,"BARNES & NOBLE EDUCATION, INC.",BNED
0001610250,"Boot Barn Holdings, Inc.",BOOT
0000746598,BRADY CORP,BRC
0000010329,"BASSETT FURNITURE INDUSTRIES, INCORPORATED",BSET
0001579298,"BURLINGTON STORES, INC.",BURL
0001486957,"BWX TECHNOLOGIES, INC.",BWXT
0001301787,BlueLinx Holdings Inc.,BXC
0001354866,BYRNA TECHNOLOGIES INC.,BYRN
0000016058,CACI International Inc,CACI
0000887596,THE CHEESECAKE FACTORY INCORPORATED,CAKE
0000014707,"CALERES, INC.",CAL
0000016160,"Cal-Maine Foods, Inc.",CALM
0001579091,MAPLEBEAR INC.,CART
0000726958,"CASEY'S GENERAL STORES, INC.",CASY
0001639438,"CAVA Group, Inc.",CAVA
0001067294,"CRACKER BARREL OLD COUNTRY STORE, INC.",CBRL
0000944148,"CBIZ, INC.",CBZ
0001576940,"Century Communities, Inc.",CCS
0000003197,CECO ENVIRONMENTAL CORP.,CECO
0001341766,"CELSIUS HOLDINGS, INC.",CELH
0000887733,CENTRAL GARDEN & PET CO,CENTA
0000020212,Churchill Downs Inc,CHDN
0001517175,"THE CHEFS’ WAREHOUSE, INC.",CHEF
0001046311,CHOICE HOTELS INTERNATIONAL INC / DE,CHH
0001043277,"C.H. ROBINSON WORLDWIDE, INC.",CHRW
0001049606,COMPX INTERNATIONAL INC,CIX
0000822818,"CLEAN HARBORS, INC.",CLH
0001005229,COLUMBUS MCKINNON CORP,CMCO
0001058090,"CHIPOTLE MEXICAN GRILL, INC.",CMG
0001482981,"The Vita Coco Company, Inc.",COCO
0000317540,"COCA-COLA CONSOLIDATED, INC.",COKE
0001050797,COLUMBIA SPORTSWEAR COMPANY,COLM
0001024305,Coty Inc.,COTY
0000900075,"COPART, INC.",CPRT
0001320461,COOPER-STANDARD HOLDINGS INC.,CPS
0001053706,"CRA International, Inc.",CRAI
0001060822,"CARTER’S, INC",CRI
0000799850,"AMERICA’S CAR-MART, INC.",CRMT
0001334036,"CROCS, INC.",CROX
0000017843,CARPENTER TECHNOLOGY CORP,CRS
0001005757,"CSG SYSTEMS INTERNATIONAL, INC.",CSGS
0001016281,"CARRIAGE SERVICES, INC.",CSV
0000723254,Cintas Corporation,CTAS
0001318484,"Citi Trends, Inc.",CTRN
0000278166,"CAVCO INDUSTRIES, INC.",CVCO
0001133470,"CALAVO GROWERS, INC.",CVGW
0000928658,"COVENANT LOGISTICS GROUP, INC.",CVLG
0000026324,CURTISS-WRIGHT CORPORATION,CW
